"","X0.2","X0.5","X1"
"216",0.275,0.769,0.942
"217",0.291,0.756,0.961
"218",0.154,0.608,0.888
"219",0.135,0.601,0.894
"220",0.258,0.779,0.934
"221",0.343,0.803,0.949
"222",0.262,0.725,0.943
"223",0.203,0.689,0.904
"224",0.253,0.763,0.922
"225",0.179,0.612,0.905
"226",0.379,0.863,0.973
"227",0.156,0.576,0.907
"228",0.09,0.568,0.879
"229",0.328,0.854,0.958
"230",0.261,0.716,0.93
"231",0.357,0.804,0.974
"232",0.104,0.59,0.873
"233",0.098,0.463,0.839
"234",0.244,0.751,0.914
"235",0.233,0.787,0.952
"236",0.295,0.79,0.934
"237",0.26,0.705,0.928
"238",0.248,0.748,0.951
"239",0.148,0.556,0.887
"240",0.348,0.846,0.955
"241",0.238,0.772,0.932
"242",0.197,0.729,0.928
"243",0.16,0.619,0.905
"244",0.193,0.704,0.917
"245",0.259,0.777,0.943
"246",0.218,0.759,0.927
"247",0.148,0.598,0.872
"248",0.255,0.762,0.941
"249",0.238,0.777,0.929
"250",0.262,0.771,0.932
"251",0.194,0.734,0.935
"252",0.267,0.762,0.952
"253",0.199,0.741,0.928
"254",0.274,0.779,0.939
"255",0.252,0.747,0.939
"256",0.189,0.673,0.9
"257",0.264,0.71,0.945
"258",0.148,0.614,0.865
"259",0.101,0.505,0.881
"260",0.17,0.641,0.892
"261",0.266,0.772,0.931
"262",0.189,0.64,0.902
"263",0.234,0.78,0.937
"264",0.293,0.759,0.936
"265",0.176,0.605,0.904
"266",0.217,0.735,0.931
"267",0.245,0.759,0.942
"268",0.211,0.692,0.938
"269",0.284,0.777,0.946
"270",0.193,0.631,0.902
"271",0.122,0.56,0.912
"272",0.285,0.839,0.974
"273",0.173,0.659,0.917
"274",0.22,0.746,0.957
"275",0.258,0.751,0.944
"276",0.135,0.642,0.916
"277",0.265,0.777,0.936
"278",0.217,0.722,0.937
"279",0.217,0.725,0.927
"280",0.328,0.787,0.961
"281",0.291,0.826,0.955
"282",0.216,0.704,0.932
"283",0.322,0.816,0.936
"284",0.261,0.723,0.914
"285",0.287,0.824,0.968
"286",0.129,0.49,0.837
"287",0.263,0.784,0.939
"288",0.259,0.778,0.956
"289",0.192,0.684,0.915
"290",0.24,0.768,0.948
"291",0.225,0.761,0.945
"292",0.226,0.698,0.938
"293",0.118,0.539,0.867
"294",0.207,0.725,0.927
"295",0.434,0.855,0.962
"296",0.279,0.811,0.948
"297",0.319,0.771,0.941
"298",0.245,0.753,0.942
"299",0.232,0.778,0.941
"300",0.13,0.591,0.863
"301",0.226,0.756,0.932
"302",0.309,0.829,0.96
"303",0.152,0.603,0.898
"304",0.263,0.821,0.967
"305",0.108,0.482,0.866
"306",0.074,0.466,0.845
"307",0.21,0.705,0.934
"308",0.159,0.631,0.894
"309",0.136,0.59,0.868
"310",0.186,0.689,0.918
"311",0.211,0.694,0.92
"312",0.23,0.761,0.943
