# index, pos, _pos
229,"array([353.5 , 999.92])","array([-2.59312113,  2.61808982])"
230,"array([ 353.55, 1084.72])","array([-2.30777838,  2.50414389])"
231,"array([ 355.89, 1193.52])","array([-1.82350796,  2.08866808])"
232,"array([356.8 , 754.41])","array([-3.2857647 ,  3.82118821])"
233,"array([357.9, 971.3])","array([-2.56293485,  3.19422492])"
234,"array([359.93, 438.06])","array([-2.91474221,  6.97790909])"
235,"array([  36.08, 1383.41])","array([4.72184915, 1.0595251 ])"
236,"array([ 36.34, 804.22])","array([-4.25656645,  3.06681888])"
237,"array([  36.68, 1024.82])","array([-3.33733089,  1.73949095])"
238,"array([ 362.23, 1360.71])","array([-1.70448413,  1.60118853])"
239,"array([ 363.9 , 1090.39])","array([-1.75282699,  2.47931018])"
240,"array([ 370.42, 1493.21])","array([4.13902277, 2.15073521])"
241,"array([ 370.91, 1267.27])","array([-1.72312357,  1.85431141])"
242,"array([ 373.03, 1065.97])","array([-2.38225793,  2.80104711])"
243,"array([ 375.22, 1150.31])","array([-1.98918842,  2.25281502])"
244,"array([378.32, 447.49])","array([-2.78973489,  6.93373785])"
245,"array([381.14, 407.41])","array([-3.13849474,  6.74586332])"
246,"array([383.03, 466.82])","array([-2.70004201,  6.8825    ])"
247,"array([387.51, 649.54])","array([-2.40652453,  6.99972605])"
248,"array([ 391.28, 1013.03])","array([-2.37793779,  3.03476058])"
249,"array([393.4 , 437.11])","array([-3.16847708,  6.83986842])"
250,"array([ 397.94, 1269.27])","array([-1.54855947,  2.13187489])"
251,"array([ 398.61, 1349.7 ])","array([-1.69553245,  1.90940833])"
252,"array([   4.01, 1297.39])","array([-2.86351364,  1.03040133])"
253,"array([  4.11, 429.25])","array([-4.14495072,  4.93073653])"
254,"array([ 401.94, 1526.36])","array([3.83867758, 2.04584374])"
255,"array([404.71, 190.74])","array([-4.13150661,  6.94183536])"
256,"array([ 404.78, 1071.54])","array([-2.11955618,  2.91588569])"
257,"array([ 407.95, 1091.06])","array([-1.81375592,  2.80745886])"
258,"array([ 411.29, 1172.16])","array([-1.8473577 ,  2.27910073])"
259,"array([ 415.02, 1147.03])","array([-1.74820056,  2.41072138])"
260,"array([ 416.06, 1557.33])","array([4.19140374, 2.31913387])"
261,"array([416.68,  29.49])","array([-4.41273511,  6.5944205 ])"
262,"array([ 423.3, 1294.3])","array([-1.58573336,  2.0834696 ])"
263,"array([430.53,  55.95])","array([-4.3673508 ,  6.69599534])"
264,"array([433.05,  -0.74])","array([-4.5041263 ,  7.45753419])"
265,"array([434.43, 319.7 ])","array([-2.75152723,  6.75766001])"
266,"array([ 434.81, 1043.17])","array([-2.08548215,  2.82400069])"
267,"array([435.33, 771.29])","array([-2.72103111,  3.63984477])"
268,"array([ 438.49, 1021.48])","array([-1.89863992,  2.9862983 ])"
269,"array([438.91, 622.19])","array([-2.24894959,  6.56280216])"
270,"array([439.98, 187.59])","array([-4.18532468,  6.97743894])"
271,"array([443.76,  89.96])","array([-4.34556229,  6.78761415])"
272,"array([448.8 , 104.45])","array([-4.26645692,  6.84569133])"
273,"array([449.43,  58.47])","array([-4.53477949,  7.29948718])"
274,"array([449.75, 676.42])","array([-2.19867439,  6.46610053])"
275,"array([461.84,  84.55])","array([-4.37500995,  7.24120776])"
276,"array([ 467.69, 1163.48])","array([-1.68229733,  2.57904494])"
277,"array([ 47.7 , 381.22])","array([-3.86404071,  5.33606785])"
