# index, pos, _pos
313,"array([ 897.63, 1031.17])","array([2.14271092, 9.19158004])"
314,"array([910.72, 796.17])","array([2.5070533 , 9.53202322])"
315,"array([ 913.56, 1208.69])","array([1.98478531, 8.9311568 ])"
316,"array([914.7 , 654.49])","array([2.80989883, 9.66418146])"
317,"array([919.25, 343.82])","array([3.39067177, 9.79605829])"
318,"array([924.94,  24.04])","array([4.01325877, 9.79849728])"
319,"array([  93.64, 1214.95])","array([2.20561949, 7.32989664])"
320,"array([930.63, 492.89])","array([3.11079608, 9.72113329])"
321,"array([931.77, 560.04])","array([2.98590834, 9.64510113])"
322,"array([935.19, 770.57])","array([2.63160657, 9.63236254])"
323,"array([ 936.89, 1230.88])","array([1.83878558, 9.00936884])"
324,"array([938.6 , 297.16])","array([3.47777565, 9.80021455])"
325,"array([940.88, 319.92])","array([3.40506651, 9.91847724])"
326,"array([ 946., 1537.])","array([1.46344743, 8.93109685])"
327,"array([ 96.48, 321.06])","array([3.50828401, 8.07803851])"
328,"array([ 961.93, 1263.89])","array([1.72605703, 8.99823215])"
329,"array([964.2 , 995.32])","array([2.20852636, 9.34516524])"
330,"array([968.19, 389.34])","array([3.28725503, 9.7999106 ])"
331,"array([ 969.89, 1517.66])","array([1.49928522, 9.07559813])"
332,"array([971.6 , 590.76])","array([2.91948939, 9.74767988])"
333,"array([973.88, 728.46])","array([2.72349747, 9.7687401 ])"
334,"array([ 989.24, 1291.2 ])","array([1.7505045 , 9.11165273])"
