# index, pos, _pos
326,"array([422.36, 201.12])","array([-0.38268381,  3.85151591])"
327,"array([426.63, 621.22])","array([0.41817035, 3.24459925])"
328,"array([428.32, 415.05])","array([-0.1358396 ,  3.76665339])"
329,"array([ 43.93, 192.59])","array([-0.09834545,  4.37622446])"
330,"array([ 431.71, 1047.93])","array([1.13246966, 2.69951211])"
331,"array([ 435.26, 1562.52])","array([1.72611828, 2.21327912])"
332,"array([435.77, 869.11])","array([0.86503995, 3.02934404])"
333,"array([436.  , 501.99])","array([-0.02899564,  3.56459378])"
334,"array([437.8 , 987.98])","array([1.08095323, 2.85016091])"
335,"array([ 449.99, 1050.97])","array([1.04860781, 2.62987022])"
336,"array([451.01, 971.73])","array([0.93492541, 2.82853001])"
337,"array([455.6 , 209.64])","array([-0.45411032,  3.78625724])"
338,"array([ 456.6 , 1164.26])","array([1.20898284, 2.49061298])"
339,"array([ 456.6 , 1501.56])","array([1.62419577, 2.13442537])"
340,"array([ 458.63, 1276.01])","array([1.43485895, 2.41076881])"
341,"array([463.27, 168.73])","array([-0.52296046,  3.87131988])"
342,"array([469.24, 369.88])","array([-0.20276224,  3.68273001])"
343,"array([470.09, 146.57])","array([-0.60456513,  3.87929747])"
344,"array([476.48, 221.15])","array([-0.43379494,  3.6688886 ])"
345,"array([ 477.93, 1434.51])","array([1.55912861, 2.2299802 ])"
346,"array([479.46,   1.68])","array([-0.7143392 ,  3.89335363])"
347,"array([ 48.56, 404.72])","array([0.3761662 , 3.99492439])"
348,"array([ 48.68, 868.1 ])","array([1.18576244, 3.49718926])"
349,"array([ 480.98, 1060.63])","array([1.0864048 , 2.50424088])"
350,"array([485.55, 993.06])","array([0.94479861, 2.70403529])"
351,"array([ 49.9 , 138.05])","array([-0.25117383,  4.52684125])"
352,"array([ 491.14, 1176.45])","array([1.28059417, 2.40279774])"
353,"array([503.84, 806.12])","array([0.68227255, 3.09196576])"
354,"array([505.89, 552.27])","array([0.04094835, 3.2516175 ])"
355,"array([507.9 , 891.47])","array([0.79439955, 2.90009935])"
356,"array([ 511.46, 1289.22])","array([1.37797397, 2.26739591])"
357,"array([516.97, 413.35])","array([-0.17971679,  3.53004936])"
358,"array([537.37, 773.61])","array([0.5634913 , 3.13687289])"
359,"array([ 537.87, 1390.82])","array([1.44972048, 2.13464383])"
360,"array([540.83,  57.08])","array([-0.62369047,  3.78811675])"
361,"array([ 540.92, 1191.69])","array([1.15804398, 2.33240842])"
362,"array([542.11, 286.78])","array([-0.34149758,  3.57213144])"
363,"array([543.46, 835.59])","array([0.65224907, 2.98146781])"
364,"array([551.59, 717.73])","array([0.43357435, 3.15484547])"
365,"array([ 554.13, 1530.01])","array([1.55969928, 2.00465729])"
366,"array([ 567.34, 1309.54])","array([1.3078144, 2.129244 ])"
367,"array([575.97, 791.9 ])","array([0.48948346, 2.99006309])"
368,"array([ 578.51, 1082.98])","array([1.01250818, 2.39561176])"
369,"array([579.02, 998.14])","array([0.84235115, 2.64845758])"
370,"array([579.18, 461.93])","array([-0.1376175,  3.3452866])"
371,"array([ 590.71, 1208.96])","array([1.19312824, 2.19435806])"
372,"array([593.25, 105.23])","array([-0.52926921,  3.66211982])"
373,"array([ 594.77, 1420.28])","array([1.4734582 , 2.02610391])"
374,"array([602.39, 922.96])","array([0.73713889, 2.75757634])"
375,"array([ 606.45, 1007.29])","array([0.87473824, 2.49910993])"
376,"array([606.45, 750.24])","array([0.33736039, 3.05438481])"
377,"array([608.16, 433.8 ])","array([-0.2911261 ,  3.25104283])"
